acc;t
12.578067;      0.0
12.576814; 0.001023
12.585904; 0.002003
 12.57629; 0.003007
12.581401;    0.004
12.584139; 0.005004
12.586536;    0.006
12.592718; 0.007015
12.588593; 0.008021
12.584103; 0.009007
12.585356; 0.010001
12.585015; 0.010998
12.576497; 0.012022
12.582484; 0.013008
12.580647; 0.014012
12.586719; 0.015006
12.608392; 0.016006
12.616703;  0.01701
12.615206; 0.018025
12.622945; 0.019011
12.618869; 0.020004
12.623116; 0.021004
12.616885; 0.021997
12.621266; 0.023022
12.615924; 0.024004
12.611458; 0.025004
12.630003; 0.026004
12.640906; 0.027013
12.638448;  0.02802
12.650885; 0.029013
12.641783; 0.030007
12.644411; 0.031009
12.655594; 0.032003
12.643231; 0.033012
12.648244;  0.03402
12.640152; 0.035011
12.618005; 0.036013
12.622495; 0.037015
12.621424;  0.03802
12.625927; 0.039007
12.623335; 0.040011
 12.62527; 0.041004
12.626401; 0.042001
12.630052; 0.043006
12.621035; 0.044006
12.633982;  0.04502
 12.60816; 0.046013
12.580014; 0.047016
12.588435; 0.048021
12.581632; 0.049016
12.586111;  0.05001
12.585186; 0.051012
12.579381; 0.052005
12.585295; 0.053003
12.579941; 0.054009
12.580294; 0.055327
12.553596; 0.056019
12.562223;  0.05702
12.561213; 0.058024
12.562284; 0.059019
12.565351; 0.060018
12.555409; 0.061008
12.567273; 0.062008
12.560495; 0.063016
12.555263; 0.064007
12.564328; 0.065007
12.565326; 0.066009
  12.5672; 0.067027
 12.55777; 0.068016
12.564195; 0.069006
12.563963; 0.070008
12.565631; 0.071011
12.563258; 0.072009
12.567991; 0.073011
12.561578; 0.074007
12.579515;  0.07501
12.574794; 0.076009
12.588167; 0.077012
12.592816; 0.078029
12.599946; 0.079022
 12.60249; 0.080005
12.597561; 0.081012
12.591307; 0.082021
12.592244; 0.083013
12.597476;  0.08401
12.597756; 0.085009
12.617275; 0.086014
12.611665; 0.087017
12.605885; 0.088024
12.606992; 0.089029
12.608477; 0.090028
12.610107; 0.091026
12.609706; 0.092026
12.610156; 0.093033
12.604072; 0.094016
12.589737; 0.095011
12.606627; 0.096008
12.618698; 0.097021
12.613721; 0.098022
12.621412; 0.099019
12.616983; 0.100009
12.617433; 0.101015
12.615583; 0.102007
12.618796; 0.103016
12.624041; 0.104036
12.625793; 0.105013
12.636148; 0.106008
12.641649; 0.107014
12.643097; 0.108029
12.634092; 0.109034
12.638959;  0.11002
12.642476; 0.111019
12.637816; 0.112011
12.638813; 0.113012
12.645385; 0.114006
12.625002; 0.115031
12.634165; 0.116014
12.622434; 0.117013
12.619283; 0.118024
12.621655; 0.119028
12.618054; 0.120016
12.617482; 0.121013
12.616155; 0.122014
12.625829; 0.123017
12.616313; 0.124014
12.603536; 0.125011
 12.61293;  0.12603
12.600652; 0.127017
12.603694; 0.128031
12.604619; 0.129015
 12.60384; 0.130018
12.597525; 0.131014
12.603147; 0.132012
12.598632; 0.133011
12.600141; 0.134014
12.598511; 0.135017
12.574927; 0.136021
12.561846; 0.137032
12.564633; 0.138025
12.562369; 0.139012
12.562978; 0.140018
 12.56058;  0.14101
12.558804; 0.142013
12.565278; 0.143021
12.560982; 0.144019
  12.5617; 0.145016
12.567371; 0.146014
12.559936; 0.147015
12.559461; 0.148026
 12.55261;  0.14903
12.562357; 0.150018
12.564815; 0.151014
12.565545; 0.152017
12.565265; 0.153007
12.562321;  0.15402
12.553559; 0.155019
12.566348; 0.156362
 12.56428; 0.157025
12.558195;  0.15803
12.555567; 0.159033
12.557818; 0.160015
12.561493; 0.161015
12.558244; 0.162023
12.563525; 0.163014
12.559059;  0.16401
12.549081;  0.16502
12.605021; 0.166015
12.593777; 0.167014
12.596515; 0.168025
12.591927; 0.169035
12.595176; 0.170035
12.596296; 0.171018
12.592864; 0.172025
 12.60019; 0.173018
12.596831; 0.174019
 12.59974; 0.175022
12.620718; 0.176017
12.637706; 0.177012
12.636514; 0.178029
12.631171; 0.179017
12.633118; 0.180018
12.623177;  0.18104
12.632048; 0.182019
12.634883; 0.183018
12.635187; 0.184019
12.628348; 0.185019
12.663479;  0.18602
12.651493;  0.18702
12.645677; 0.188031
12.640188; 0.189019
12.645969; 0.190015
12.647259; 0.191018
12.644362; 0.192041
12.656081; 0.193023
12.644581; 0.194018
12.642975;  0.19502
12.613588; 0.196019
12.622422; 0.197023
12.630551; 0.198022
12.624807; 0.199038
12.615522; 0.200027
12.623773; 0.201024
12.624905; 0.202015
 12.62634;  0.20304
12.629942; 0.204018
12.631573; 0.205011
 12.60625; 0.206017
 12.58521; 0.207021
12.588776; 0.208028
12.589335; 0.209021
12.596077; 0.210018
12.597026; 0.211018
 12.59991; 0.212015
 12.59632; 0.213014
12.594458; 0.214032
12.582387; 0.215026
12.551807; 0.216021
 12.55216; 0.217022
12.559704; 0.218033
 12.54874; 0.219017
12.554484; 0.220019
12.558122; 0.221012
12.556589; 0.222014
12.553949; 0.223026
12.557222; 0.224019
   12.564; 0.225038
12.553815; 0.226024
12.557587; 0.227017
12.551454;  0.22803
12.557246; 0.229022
12.559765; 0.230022
 12.55536; 0.231019
